flow_type,partner,product,reporter,Trade,Y_2013_IHS,Y_2014_IHS,Y_2015_IHS,Y_2016_IHS,Y_2017_IHS,Y_2018_IHS,Y_2019_IHS,YTD,YTD_2019,YTD_2020,updated_date
QTY,India,Long Products,United States (For Domestic Consumption),IMP,8612.979,13592.061,17952.218,13379.522,40642.282,24957.959,16205.72,Feb,1193.826,1714.448,06APR2020
QTY,India,Pipe and Tube Products,United States (For Domestic Consumption),IMP,279251.8,205433.07,192117.04,96151.714,462084.618,101958.803,86605.217,Feb,19017.67,7721.013,06APR2020
QTY,India,Semi-Finished Products,United States (For Domestic Consumption),IMP,1176.547,102275.817,40245.793,34597.969,76331.824,111972.7,30861.169,Feb,8854.776,2489.255,06APR2020
QTY,India,Stainless Products,United States (For Domestic Consumption),IMP,54163.944,79539.235,81532.034,67105.55,75082.873,63064.084,49526.795,Feb,10179.345,5799.636,06APR2020
QTY,Italy,All Steel Mill Products,United States (For Domestic Consumption),IMP,501109.755,676126.601,556484.948,404563.257,502058.672,620305.073,535226.616,Feb,157466.382,23013.716,06APR2020
QTY,Italy,Flat Products,United States (For Domestic Consumption),IMP,127450.814,308811.332,223131.153,145914.637,92757.357,39457.833,7003.561,Feb,923.547,1712.974,06APR2020
QTY,Italy,Long Products,United States (For Domestic Consumption),IMP,90299.374,65773.001,73599.694,79606.449,128666.307,278285.859,209866.604,Feb,89951.63,4519.749,06APR2020
QTY,Italy,Pipe and Tube Products,United States (For Domestic Consumption),IMP,144330.669,192755.079,155538.14,74690.125,147357.64,159998.292,140861.648,Feb,30285.338,8016.573,06APR2020
QTY,Italy,Semi-Finished Products,United States (For Domestic Consumption),IMP,11224.652,23673.313,18534.788,16580.156,34781.021,58865.317,103939.243,Feb,25175.587,50.349,06APR2020
QTY,Italy,Stainless Products,United States (For Domestic Consumption),IMP,127804.246,85113.876,85681.173,87771.89,98496.347,83697.772,73555.56,Feb,11130.28,8714.071,06APR2020
QTY,Japan,All Steel Mill Products,United States (For Domestic Consumption),IMP,2269116.444,2438090.121,2411313.159,1950853.343,1728369.637,1367297.662,1136116.267,Feb,209926.644,133148.751,06APR2020
QTY,Japan,Flat Products,United States (For Domestic Consumption),IMP,661858.194,766453.91,735221.924,444267.215,506580.874,452178.565,341414.302,Feb,73288.313,46033.362,06APR2020
QTY,Japan,Long Products,United States (For Domestic Consumption),IMP,644671.237,800085.473,973413.253,960507.882,649222.485,558270.316,527131.02,Feb,83284.846,58346.586,06APR2020
QTY,Japan,Pipe and Tube Products,United States (For Domestic Consumption),IMP,363456.309,288510.573,292252.568,192879.087,171160.03,198043.994,207299.28,Feb,46398.619,19407.209,06APR2020
QTY,Japan,Semi-Finished Products,United States (For Domestic Consumption),IMP,546749.466,526348.622,358370.003,317321.031,363889.018,117061.658,9712.213,Feb,1110.908,920.076,06APR2020
QTY,Japan,Stainless Products,United States (For Domestic Consumption),IMP,52381.238,56691.543,52055.411,35878.128,37517.23,41743.129,50559.452,Feb,5843.958,8441.518,06APR2020
QTY,Korea,All Steel Mill Products,United States (For Domestic Consumption),IMP,3449049.381,4970968.421,4405233.55,3464783.145,3420958.17,2508098.215,2336856.222,Feb,497305,308807.552,06APR2020
QTY,Korea,Flat Products,United States (For Domestic Consumption),IMP,1303838.133,2073751.422,2436432.039,2105882.093,1079241.031,1225755.841,1168401.075,Feb,226909.155,200075.226,06APR2020
QTY,Korea,Long Products,United States (For Domestic Consumption),IMP,256732.835,419624.009,428280.866,360657.612,297574.853,221132.512,227000.863,Feb,50548.483,50714.002,06APR2020
QTY,Korea,Pipe and Tube Products,United States (For Domestic Consumption),IMP,1771904.642,2409303.13,1492482.583,941067.412,1979157.594,1023719.212,905494.393,Feb,210209.778,49679.975,06APR2020
QTY,Korea,Semi-Finished Products,United States (For Domestic Consumption),IMP,84885.691,24459.403,78.009,336.157,7249.697,23.763,147.367,Feb,145.567,0,06APR2020
QTY,Korea,Stainless Products,United States (For Domestic Consumption),IMP,31688.08,43830.457,47960.053,56839.871,57734.995,37466.887,35812.524,Feb,9492.017,8338.349,06APR2020
QTY,Luxembourg,All Steel Mill Products,United States (For Domestic Consumption),IMP,200716.009,283800.507,185718.927,166805.958,206714.068,152657.83,180911.34,Feb,42107.841,22138.409,06APR2020
QTY,Luxembourg,Flat Products,United States (For Domestic Consumption),IMP,12811.341,45511.492,16456.949,11863.331,17396.139,24193.534,3075.647,Feb,689.297,230.144,06APR2020
QTY,Luxembourg,Long Products,United States (For Domestic Consumption),IMP,187904.668,238289.015,169259.303,154920.886,189270.983,128461.136,177834.729,Feb,41418.544,21903.671,06APR2020
QTY,Luxembourg,Pipe and Tube Products,United States (For Domestic Consumption),IMP,0,0,2.675,21.741,46.946,0,0,Feb,0,4.594,06APR2020
QTY,Luxembourg,Stainless Products,United States (For Domestic Consumption),IMP,0,0,0,0,0,3.16,0.964,Feb,0,0,06APR2020
QTY,Morocco,All Steel Mill Products,United States (For Domestic Consumption),IMP,0,0,3.034,0,30453.578,31581.439,22325.554,Feb,0,0,06APR2020
QTY,Morocco,Flat Products,United States (For Domestic Consumption),IMP,0,0,0,0,9869.218,5048.285,38.24,Feb,0,0,06APR2020
QTY,Morocco,Long Products,United States (For Domestic Consumption),IMP,0,0,0,0,20584.36,26533.154,22287.314,Feb,0,0,06APR2020
QTY,Morocco,Pipe and Tube Products,United States (For Domestic Consumption),IMP,0,0,3.034,0,0,0,0,Feb,0,0,06APR2020
QTY,Mexico,All Steel Mill Products,United States (For Domestic Consumption),IMP,2896166.062,3365443.302,2492879.404,2723990.8,3164550.498,3506931.617,3368989.842,Feb,534419.955,594893.05,06APR2020
QTY,Mexico,Flat Products,United States (For Domestic Consumption),IMP,822588.391,887460.994,732752.958,907050.295,851563.255,914121.098,705378.886,Feb,163672.568,113879.691,06APR2020
QTY,Mexico,Long Products,United States (For Domestic Consumption),IMP,713985.117,602297.179,469064.394,512706.828,523260.495,462896.335,495234.677,Feb,54020.906,116981.438,06APR2020
